"","name","pweight_x","pweight_y","pop11","number_lsoa","type","number_oa","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osm_nm"
"1421","Wetheral BUASD",346210.822961071,555010.832547827,1439,1,"buasd",NA,346210.822961071,555010.832547827,"Origin",NA,NA
"1422","Wetherby BUASD",440172.114102643,448779.358241141,11099,8,"buasd",NA,440371.277945508,448203.814890024,"town",609.029051293671,"Wetherby"
"1423","Weybridge BUASD",507670.433015368,163529.455674436,28024,18,"buasd",NA,507642.91014287,164872.579187206,"town",1343.40547827709,"Weybridge"
"1424","Weymouth BUASD",367385.685871562,79961.8078535691,52249,31,"buasd",NA,367947.600764976,78977.602479426,"town",1133.31750446765,"Weymouth"
"1425","Whalley BUASD",372732.774328378,436924.937070199,3895,2,"buasd",NA,372732.774328378,436924.937070199,"Origin",NA,NA
"1426","Wharncliffe Side BUASD",429710.369360578,394788.022233735,1355,1,"buasd",NA,429710.369360578,394788.022233735,"Origin",NA,NA
"1427","Wheatley BUASD",459574.56082384,205567.508162488,3913,3,"buasd",NA,459205.444788405,205837.944829689,"townhall",457.58347717343,"Registry Office"
"1428","Wheelton BUASD",359262.316397718,420442.810454511,2239,1,"buasd",NA,359262.316397718,420442.810454511,"Origin",NA,NA
"1429","Whetstone BUASD",456297.399227918,297093.89796495,13410,8,"buasd",NA,456297.399227918,297093.89796495,"Origin",NA,NA
"1430","Whickham BUASD",420467.47918207,561017.518543617,16328,11,"buasd",NA,420605.716631003,561045.460214408,"town",141.033078581505,"Whickham"
"1431","Whitburn BUASD",440644.019334614,562447.08974452,5270,3,"buasd",NA,440644.019334614,562447.08974452,"Origin",NA,NA
"1432","Whitefield BUASD",380934.729855703,405763.190129863,20994,14,"buasd",NA,380427.401214654,406345.489696672,"town",772.305079314201,"Whitefield"
"1433","Whitehaven BUASD",298044.139476066,517218.261502267,25342,18,"buasd",NA,297342.395405097,518068.157777102,"town",1102.16533202523,"Whitehaven"
