"","zone","year","country","la","ttwa","pop","inc.n","noninc.n","social.HH","nonsocial.HH","dist_main","dist_nearest","crime","live.in","geo","pm25","work","area"
"64","S01006569",2020,"Scotland","Aberdeen City","Aberdeen",561,33,528,36,275,1748.84198726163,1748.84198726163,3977,1285,6720,2083,22141.8627558326,56576.680084127
"65","S01006570",2020,"Scotland","Aberdeen City","Aberdeen",739,11,728,8,363,1837.93412359852,1837.93412359852,4688,4238,6493,2083,21613.7335911787,114756.124016348
"66","S01006571",2020,"Scotland","Aberdeen City","Aberdeen",911,26,885,18,409,1921.32062972518,1921.32062972518,715,3853,6283,2320,21227.896105827,402357.539855134
"67","S01006572",2020,"Scotland","Aberdeen City","Aberdeen",957,6,951,4,370,2882.77826885684,2882.77826885684,4036,6285,3422,2197,13838.1848562382,365514.138071405
"68","S01006573",2020,"Scotland","Aberdeen City","Aberdeen",790,12,778,4,286,2376.86217506824,2376.86217506824,5882,6618,5395,2083,17387.5180203424,121413.068304
"69","S01006574",2020,"Scotland","Aberdeen City","Aberdeen",1017,20,997,8,419,2466.0230953003,2466.0230953003,2159,6086,4775,2501,16504.4363727332,309722.706040457
"70","S01006575",2020,"Scotland","Aberdeen City","Aberdeen",981,8,973,4,395,2507.68139372346,2507.68139372346,4482,5762,4584,2320,14448.0523897508,135130.027823189
"71","S01006576",2020,"Scotland","Aberdeen City","Aberdeen",730,12,718,4,321,2184.3395518769,2184.3395518769,1411,4755,4761,2320,17253.6460526349,113217.578653304
"72","S01006577",2020,"Scotland","Aberdeen City","Aberdeen",814,20,794,12,418,2254.17185672301,2254.17185672301,4208,1826,6279,2320,17345.7976398994,113614.782540948
"73","S01006578",2020,"Scotland","Aberdeen City","Aberdeen",1105,51,1054,49,584,1835.34718609925,1835.34718609925,3517,566,6265,2320,20563.4613055875,73027.2593830556
"74","S01006579",2020,"Scotland","Aberdeen City","Aberdeen",1048,33,1015,17,623,1620.92583964626,1620.92583964626,3656,1024,6301,1664,22255.8097229866,68155.8773259707
