"","zone","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work","area"
"116","S01000116",2009,"Scotland","Aberdeen City","Aberdeen",1053,20,1033,1576.00659130919,1576.00659130919,2468,521,6151,843,19764.6328555302,71761.0737423841
"117","S01000117",2009,"Scotland","Aberdeen City","Aberdeen",956,50,906,2403.84189883876,2403.84189883876,3926,5629,4168,843,14838.4241542314,185701.649645464
"118","S01000118",2009,"Scotland","Aberdeen City","Aberdeen",631,95,536,3726.43047992102,3726.43047992102,1016,2142,4977,1767,9133.38885601906,224216.991842426
"119","S01000119",2009,"Scotland","Aberdeen City","Aberdeen",750,120,630,1249.90553499623,1249.90553499623,1153,479,6075,257,21449.06784106,55570.206807306
"120","S01000120",2009,"Scotland","Aberdeen City","Aberdeen",527,30,497,1755.22291259044,1755.22291259044,3144,1480,6091,843,18737.0565293792,56633.5541878249
"121","S01000121",2009,"Scotland","Aberdeen City","Aberdeen",749,70,679,3164.21083544925,3164.21083544925,212,4333,3522,1029,11385.4757955396,314648.41600585
"122","S01000122",2009,"Scotland","Aberdeen City","Aberdeen",697,160,537,5069.57656228675,5069.57656228675,1448,2447,2787,3582.5,4035.04529266064,82724.0314390957
"123","S01000123",2009,"Scotland","Aberdeen City","Aberdeen",680,25,655,7644.06119665545,7644.06119665545,3853,5381,1296,4176,806.39680265113,1860065.87343572
"124","S01000124",2009,"Scotland","Aberdeen City","Aberdeen",1161,85,1076,1024.86291225292,1024.86291225292,1907,278,5933,257,22347.4074780372,53210.615719974
"125","S01000125",2009,"Scotland","Aberdeen City","Aberdeen",1033,140,893,560.303627619762,560.303627619762,36,881,5557,59,21383.0775519181,149185.215728205
"126","S01000126",2009,"Scotland","Aberdeen City","Aberdeen",750,130,620,325.155176275424,325.155176275424,747,577,5285,59,19770.6170233987,106187.686657724
"127","S01000127",2009,"Scotland","Aberdeen City","Aberdeen",742,10,732,2490.55946566206,2490.55946566206,4533,6321,4935,1029,14504.6742449096,133016.824939102
"128","S01000128",2009,"Scotland","Aberdeen City","Aberdeen",2002,95,1907,757.903023287582,757.903023287582,596,286,5831,257,23062.5693869881,172336.213669161
"129","S01000129",2009,"Scotland","Aberdeen City","Aberdeen",694,5,689,715.45238372176,715.45238372176,650,390,5522,257,22452.8007250922,62542.8097301668
"130","S01000130",2009,"Scotland","Aberdeen City","Aberdeen",1141,120,1021,492.664526832844,492.664526832844,1215,631,4918,125.5,17960.1725689676,365872.198916785
"131","S01000131",2009,"Scotland","Aberdeen City","Aberdeen",608,15,593,1932.64504873691,1932.64504873691,2875,2013,5505,843,17540.4852880638,155521.147256378
"132","S01000132",2009,"Scotland","Aberdeen City","Aberdeen",693,30,663,1505.25017981834,1505.25017981834,1948,1225,5937,257,19530.4444238853,89184.120490171
"133","S01000133",2009,"Scotland","Aberdeen City","Aberdeen",687,105,582,5046.33402456435,5046.33402456435,3111,1928,3480,3582.5,4109.67942560569,117226.905307408
"134","S01000134",2009,"Scotland","Aberdeen City","Aberdeen",734,180,554,4533.53272127155,4533.53272127155,2765,1476,4737,3582.5,5717.50760446458,110486
"135","S01000135",2009,"Scotland","Aberdeen City","Aberdeen",667,175,492,855.528389577801,855.528389577801,445,726,6142,257,20541.8578392129,39018.4813057072
"136","S01000136",2009,"Scotland","Aberdeen City","Aberdeen",639,120,519,4255.23508485008,4255.23508485008,557,1724,6309,1767,6743.66929215567,290470.543306552
"137","S01000137",2009,"Scotland","Aberdeen City","Aberdeen",832,105,727,1336.07130264817,1336.07130264817,1533,1280,5975,257,19938.7542469229,149733.889942475
"138","S01000138",2009,"Scotland","Aberdeen City","Aberdeen",997,65,932,569.392312904718,569.392312904718,837,562,5466,30.5,19552.6737917051,195530.760004107
"139","S01000139",2009,"Scotland","Aberdeen City","Aberdeen",793,115,678,4920.89539673051,4920.89539673051,3575,1265,4539,4059,4477.88646647985,140970.5
"140","S01000140",2009,"Scotland","Aberdeen City","Aberdeen",857,110,747,5404.08914143338,5404.08914143338,3725,2283,1803,4059,3228.69438728628,168281.517208964
"141","S01000141",2009,"Scotland","Aberdeen City","Aberdeen",832,20,812,2419.68264623339,2419.68264623339,871,4106,4237,504,15256.9851003079,663598.568342984
"142","S01000142",2009,"Scotland","Aberdeen City","Aberdeen",721,185,536,3637.19529230173,3637.19529230173,736,870,5127,2421.5,9379.12171857748,110033.44814992
"143","S01000143",2009,"Scotland","Aberdeen City","Aberdeen",693,10,683,7824.90569861306,7824.90569861306,5855,6433,2469,4189,854.656830104293,250631.423841354
"144","S01000144",2009,"Scotland","Aberdeen City","Aberdeen",644,30,614,753.96826004515,753.96826004515,2603,176,5084,30.5,16300.4749238528,49468.6331047639
"145","S01000145",2009,"Scotland","Aberdeen City","Aberdeen",765,175,590,5218.57213312917,5218.57213312917,2217,3301,2291,4059,3680.90896495266,165948.101914316
"146","S01000146",2009,"Scotland","Aberdeen City","Aberdeen",1193,185,1008,1288.72102156057,1288.72102156057,711,240,6191,395.5,18387.3431247709,94732.9953669962
"147","S01000147",2009,"Scotland","Aberdeen City","Aberdeen",898,90,808,793.257486647964,793.257486647964,2252,347,5312,138,14861.4819575053,287167.37111485
"148","S01000148",2009,"Scotland","Aberdeen City","Aberdeen",561,165,396,4593.17012814576,4593.17012814576,1937,931,5755,2421.5,5476.35566090199,83419.098650977
"149","S01000149",2009,"Scotland","Aberdeen City","Aberdeen",1035,100,935,1251.85298221123,1251.85298221123,1195,453,5905,395.5,17602.4783213084,187880.787511436
"150","S01000150",2009,"Scotland","Aberdeen City","Aberdeen",646,110,536,3879.05082949374,3879.05082949374,2646,1839,5940,2421.5,8210.67730532841,87348.5001000017
"151","S01000151",2009,"Scotland","Aberdeen City","Aberdeen",828,165,663,3458.70754763261,3458.70754763261,2671,1970,4561,504,9755.91176689275,178548.162834048
"152","S01000152",2009,"Scotland","Aberdeen City","Aberdeen",1062,105,957,1902.7793034479,1902.7793034479,1810,3609,5178,1121,16059.0893462263,495388.000381557
"153","S01000153",2009,"Scotland","Aberdeen City","Aberdeen",685,80,605,971.083970092578,971.083970092578,2498,694,4214,30.5,14851.5868919997,159672.936346315
"154","S01000154",2009,"Scotland","Aberdeen City","Aberdeen",523,65,458,4906.70764127417,4906.70764127417,4358,1551,3631,4059,4498.52398843681,101656.816223588
"155","S01000155",2009,"Scotland","Aberdeen City","Aberdeen",749,140,609,4042.81690295577,4042.81690295577,1975,1444,5716,2421.5,7339.06758440134,128459.269600004
"156","S01000156",2009,"Scotland","Aberdeen City","Aberdeen",955,165,790,1294.05699909228,1294.05699909228,489,439,5345,395.5,16520.332615491,96633.9369655401
"157","S01000157",2009,"Scotland","Aberdeen City","Aberdeen",646,170,476,3249.81569770413,3249.81569770413,937,2788,4532,504,10423.9944723774,108355.547042582
"158","S01000158",2009,"Scotland","Aberdeen City","Aberdeen",851,145,706,3118.27955784379,3118.27955784379,1781,2480,4305,504,10988.2178438395,115309.159407667
"159","S01000159",2009,"Scotland","Aberdeen City","Aberdeen",1083,25,1058,8164.70277305204,8164.70277305204,6075,6274,3132,4189,880.281588618708,321344.202350751
"160","S01000160",2009,"Scotland","Aberdeen City","Aberdeen",755,115,640,4126.4867533872,4126.4867533872,4563,1548,5056,2421.5,6953.04702578305,106802.5
"161","S01000161",2009,"Scotland","Aberdeen City","Aberdeen",1036,30,1006,1604.61740708108,1604.61740708108,3207,1942,6251,395.5,15193.9988216118,108928.207553681
"162","S01000162",2009,"Scotland","Aberdeen City","Aberdeen",886,120,766,2586.26074502531,2586.26074502531,2464,2918,3247,1121,13532.6228422965,156722.604703716
"163","S01000163",2009,"Scotland","Aberdeen City","Aberdeen",999,170,829,4660.29318494413,4660.29318494413,2173,1008.5,3880,4059,5232.99753622718,703715.458196033
"164","S01000164",2009,"Scotland","Aberdeen City","Aberdeen",813,85,728,1322.2733480387,1322.2733480387,2442,992,3494,30.5,11608.8260594504,175826.375312146
"165","S01000165",2009,"Scotland","Aberdeen City","Aberdeen",844,190,654,2262.45486982274,2262.45486982274,1115,1436,3439,1121,14121.4662911119,144367.123514335
"166","S01000166",2009,"Scotland","Aberdeen City","Aberdeen",1368,55,1313,1429.10690640328,1429.10690640328,4203,660,5588,30.5,13696.1647531895,193601.576193511
"167","S01000167",2009,"Scotland","Aberdeen City","Aberdeen",663,90,573,3707.30178151486,3707.30178151486,4812,2962,4269,504,8219.09123333452,133805.22458607
"168","S01000168",2009,"Scotland","Aberdeen City","Aberdeen",959,170,789,3994.90930770038,3994.90930770038,2208,1175,4405,2421.5,7321.4269172274,176878.349799454
"169","S01000169",2009,"Scotland","Aberdeen City","Aberdeen",775,90,685,3028.43728979597,3028.43728979597,2380,4812,3686,504,10934.3528994867,160078.369372547
"170","S01000170",2009,"Scotland","Aberdeen City","Aberdeen",1144,45,1099,1520.33177081823,1520.33177081823,2776,981,5626,395.5,14453.2165220249,204517.110377721
