"","zone","type","area"
"285","E01000285","lsoa01",201996.455566602
"286","E01000286","lsoa01",269150.491398912
"287","E01000287","lsoa01",273424.922989309
"288","E01000288","lsoa01",337001.824278839
"289","E01000289","lsoa01",281206.376928782
"290","E01000290","lsoa01",2047278.36441956
"291","E01000291","lsoa01",249646.3065157
"292","E01000292","lsoa01",287971.866646878
"293","E01000293","lsoa01",273522.511155322
"294","E01000294","lsoa01",331017.438301202
"295","E01000295","lsoa01",204131.382071147
"296","E01000296","lsoa01",222091.709516841
"297","E01000297","lsoa01",231846.124467645
"298","E01000298","lsoa01",266095.807210805
"299","E01000299","lsoa01",165165.989416308
"300","E01000300","lsoa01",173527.579838981
"301","E01000301","lsoa01",287226.683702649
"302","E01000302","lsoa01",216851.493952148
"303","E01000303","lsoa01",216552.259577576
"304","E01000304","lsoa01",177513.108042625
"305","E01000305","lsoa01",688549.150367303
"306","E01000306","lsoa01",146559.886792076
"307","E01000307","lsoa01",501875.914334508
"308","E01000308","lsoa01",528916.29927512
"309","E01000309","lsoa01",290375.88395284
"310","E01000310","lsoa01",304819.991285128
"311","E01000311","lsoa01",348939.358578797
"312","E01000312","lsoa01",146550.080003984
"313","E01000313","lsoa01",218227.270952042
"314","E01000314","lsoa01",250999.263402091
"315","E01000315","lsoa01",505403.054678051
"316","E01000316","lsoa01",406398.302673446
"317","E01000317","lsoa01",170561.403408388
"318","E01000318","lsoa01",272296.082976903
"319","E01000319","lsoa01",158996.789212308
"320","E01000320","lsoa01",233342.472157481
"321","E01000321","lsoa01",175209.824743362
"322","E01000322","lsoa01",204734.960503269
"323","E01000323","lsoa01",214061.034675131
"324","E01000324","lsoa01",271328.22653879
"325","E01000325","lsoa01",391337.842713698
"326","E01000326","lsoa01",273311.238241235
"327","E01000327","lsoa01",391909.703172886
"328","E01000328","lsoa01",543336.655172411
"329","E01000329","lsoa01",481207.540559558
"330","E01000330","lsoa01",255144.178040223
"331","E01000331","lsoa01",534147.805321261
"332","E01000332","lsoa01",278156.931635797
"333","E01000333","lsoa01",290561.408260264
"334","E01000334","lsoa01",265026.831302507
"335","E01000335","lsoa01",1698688.10968006
"336","E01000336","lsoa01",180797.368279589
"337","E01000337","lsoa01",274768.374333507
"338","E01000338","lsoa01",173189.340405955
"339","E01000339","lsoa01",255210.438573116
"340","E01000340","lsoa01",232500.352401252
"341","E01000341","lsoa01",242905.72483858
"342","E01000342","lsoa01",218793.144926467
"343","E01000343","lsoa01",303003.549516464
"344","E01000344","lsoa01",226444.953277994
"345","E01000345","lsoa01",207732.980781254
"346","E01000346","lsoa01",347919.702601166
"347","E01000347","lsoa01",196438.129710594
"348","E01000348","lsoa01",293393.595913173
"349","E01000349","lsoa01",333340.761188384
"350","E01000350","lsoa01",269378.582993101
"351","E01000351","lsoa01",312713.329916204
"352","E01000352","lsoa01",344374.999361994
"353","E01000353","lsoa01",337781.407581976
"354","E01000354","lsoa01",205211.466961987
"355","E01000355","lsoa01",420582.609315708
"356","E01000356","lsoa01",309500.549450353
"357","E01000357","lsoa01",201548.991796288
"358","E01000358","lsoa01",294598.724969115
"359","E01000359","lsoa01",203766.003543683
"360","E01000360","lsoa01",439741.142961781
"361","E01000361","lsoa01",285322.051874749
"362","E01000362","lsoa01",394427.417133336
"363","E01000363","lsoa01",418591.420760203
"364","E01000364","lsoa01",432811.139040154
"365","E01000365","lsoa01",340954.418503783
"366","E01000366","lsoa01",235829.670163451
"367","E01000367","lsoa01",261816.603670353
"368","E01000368","lsoa01",237787.640872443
