"","zone","accessA","accessB"
"256","E01020630",51859,1618.38941835254
"257","E01020631",59271,2297.35295839642
"258","E01020638",240555,1544.88208846889
"259","E01008646",537001,5304.60827611967
"260","E01008647",427711,4044.2226142324
"261","E01008644",537109,4557.91202264898
"262","E01008642",537449,6016.31764830469
"263","E01008643",536749,4997.96286143305
"264","E01008640",537191,6520.18864786977
"265","E01008641",535280,6165.71885737934
"266","E01008648",433180,5269.22657349375
"267","E01008649",394163,2420.45740475127
"268","E01027356",12659,234.498771228094
"269","E01027357",11473,1676.14679050517
"270","E01027358",12970,1957.66650207497
"271","E01027359",11638,1696.57284127003
"272","E01033466",147602,5696.48739867565
"273","E01033465",121388,2285.30057560584
"274","E01033468",226895,14138.0112410817
"275","E01033469",220504,9822.50951307894
"276","E01027456",72755,1721.80078522987
"277","E01027457",74228,3221.17189560288
"278","E01027455",79243,2071.26280819889
"279","E01027452",80169,3369.49470157498
"280","E01027453",76611,3697.79185478051
"281","E01008170",514305,17904.9301471223
"282","E01012118",125702,2528.99696733826
"283","E01012199",214555,2465.81446192075
"284","E01008171",519067,16948.7589299027
"285","E01012198",226263,5726.60626671273
"286","E01008178",384764,4444.88087547806
"287","E01008179",364991,3034.80193762507
"288","E01012076",224762,7682.69951366276
"289","E01012077",223043,9227.96901826274
"290","E01012074",221224,9509.25794249766
"291","E01012075",222236,7864.77963561452
"292","E01012073",203137,2066.86686005907
"293","E01012071",199907,1592.97868628959
"294","E01012078",223572,11438.3238641051
"295","E01012079",221318,9887.08703792959
"296","E01012326",129682,6063.14733849828
"297","E01012327",136627,5878.16083062328
"298","E01012324",119382,4725.11511373484
"299","E01012325",136975,5567.42330633511
"300","E01012323",112320,4640.94011628101
"301","E01012328",137627,4122.64681476253
"302","E01012329",139355,4872.05800915723
"303","E01008316",501500,9351.48642237331
"304","E01008397",497442,37049.8593294594
"305","E01008317",489126,13745.1387292586
"306","E01008396",491113,22923.1105318542
"307","E01008314",497940,10371.1843938169
"308","E01008395",498146,32401.0994648065
"309","E01008315",486541,13332.8281032214
"310","E01008394",489598,25031.6954402264
"311","E01008312",411412,4708.55365510307
"312","E01008313",422850,5355.61796228701
"313","E01008392",531803,10897.5451693248
"314","E01008391",537585,10625.4235189156
"315","E01008311",419863,4517.4511343618
"316","E01008390",545778,9361.29067293127
"317","E01008318",497380,12682.2787425233
"318","E01008399",493418,25296.4721757348
"319","E01008319",503861,8115.64593487043
"320","E01008398",493154,23138.3888583863
"321","E01012216",219616,3264.45657382982
"322","E01012297",219580,2398.41367394847
"323","E01012217",214904,9001.9873968014
"324","E01012296",217627,2994.66902132664
"325","E01012214",219124,4218.17113396335
"326","E01012295",228374,788.586708158088
"327","E01012215",218813,4360.44837279502
"328","E01012294",238175,716.580166563464
"329","E01012212",228111,3890.40785932164
"330","E01012213",225843,4584.09349195533
"331","E01012292",201757,6171.6604874654
"332","E01012210",218842,3533.74962613802
"333","E01012291",203214,6826.20548876943
"334","E01012211",223973,3565.58104669485
"335","E01012290",201851,5183.96914450355
"336","E01008276",390880,2158.36391532961
"337","E01008277",375283,2727.14320818057
"338","E01008274",419925,1707.54725613279
"339","E01008275",406686,3363.82817032568
"340","E01008272",421330,2058.43337723571
"341","E01008273",417978,1665.76283628566
"342","E01008270",407986,3115.32675136055
"343","E01012218",219334,7639.13783389461
"344","E01012299",213731,2216.49378444914
"345","E01008271",400689,2588.79909592166
"346","E01012219",224110,7047.73441173892
"347","E01012298",206908,1497.75508044981
"348","E01008278",363607,1420.66877390124
"349","E01008279",366365,2331.28142983649
"350","E01020597",443305,3249.27847442021
"351","E01020596",448404,3531.74016398597
"352","E01020595",409796,3295.61845330668
"353","E01020594",408587,3576.39920022881
"354","E01020593",421316,4292.77389899315
"355","E01020592",423788,3628.05723742023
"356","E01020591",401271,1525.16945598198
"357","E01020590",361740,1511.86844531256
"358","E01020599",404257,3068.95368606011
"359","E01020598",443956,3883.57016765543
