"zone","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016"
"E01000222","lsoa01",17.92546,15.85971,14.39561,16.17165,16.16547,15.93316,12.14613,12.35036
"E01000223","lsoa01",17.54787,15.67367,13.81371,14.87719,14.59046,14.54333,11.29269,12.0284
"E01000224","lsoa01",17.54787,15.67367,13.81371,14.87719,14.59046,14.54333,11.29269,12.0284
"E01000225","lsoa01",17.17987,15.20957,14.09126,15.44986,15.29384,15.11312,11.91097,12.16429
"E01000226","lsoa01",16.65317,14.69173,13.11019,13.55382,13.22123,13.15365,10.23385,11.66598
"E01000227","lsoa01",16.59391,14.52615,13.37048,14.59681,14.37864,14.27124,11.22482,11.77785
"E01000228","lsoa01",15.6656866666667,13.70999,12.39013,13.05728,12.65691,12.7594733333333,10.075188,10.7320366666667
"E01000229","lsoa01",16.21739,14.16356,13.13299,14.35652,13.99743,14.01045,11.07226,11.43787
"E01000230","lsoa01",16.20514,14.28979,12.93931,13.55174,13.22152,13.33713,10.29509,11.21416
"E01000231","lsoa01",16.21739,14.16356,13.13299,14.35652,13.99743,14.01045,11.07226,11.43787
"E01000232","lsoa01",16.59391,14.52615,13.37048,14.59681,14.37864,14.27124,11.22482,11.77785
"E01000233","lsoa01",16.59391,14.52615,13.37048,14.59681,14.37864,14.27124,11.22482,11.77785
"E01000234","lsoa01",16.59391,14.52615,13.37048,14.59681,14.37864,14.27124,11.22482,11.77785
"E01000235","lsoa01",16.44649,14.57598,13.19044,14.72351,14.60428,14.55295,11.44322,12.01357
"E01000236","lsoa01",17.97112,15.88388,14.2596,15.34103,15.40899,15.04747,11.9018,12.17106
"E01000237","lsoa01",17.97112,15.88388,14.2596,15.34103,15.40899,15.04747,11.9018,12.17106
"E01000238","lsoa01",17.31191,15.34855,13.69117,14.69127,14.33982,14.4915,11.39264,11.91112
"E01000239","lsoa01",17.07776,15.1306,13.61543,14.95158,14.7136,14.86999,11.66629,12.02635
"E01000240","lsoa01",16.51751,14.65858,13.2674,14.74356,14.50671,14.69992,11.47292,11.8784
"E01000241","lsoa01",17.31191,15.34855,13.69117,14.69127,14.33982,14.4915,11.39264,11.91112
"E01000242","lsoa01",17.31191,15.34855,13.69117,14.69127,14.33982,14.4915,11.39264,11.91112
"E01000243","lsoa01",17.31191,15.34855,13.69117,14.69127,14.33982,14.4915,11.39264,11.91112
"E01000244","lsoa01",17.07776,15.1306,13.61543,14.95158,14.7136,14.86999,11.66629,12.02635
"E01000245","lsoa01",17.31191,15.34855,13.69117,14.69127,14.33982,14.4915,11.39264,11.91112
"E01000246","lsoa01",15.35751,13.350845,12.068625,12.32987,11.924045,11.94452,9.3681805,10.453155
"E01000247","lsoa01",15.56731,13.5756,12.30495,12.54875,12.16933,12.1615,9.524611,10.6572
"E01000248","lsoa01",15.39953,13.43988,12.55012,13.04533,12.80369,12.65475,9.83521,10.87664
"E01000249","lsoa01",15.19274,13.20848,12.18433,12.46559,12.18472,12.17942,9.533484,10.5237
"E01000250","lsoa01",15.39953,13.43988,12.55012,13.04533,12.80369,12.65475,9.83521,10.87664
"E01000251","lsoa01",15.49052,13.59402,12.47928,12.73124,12.50767,12.49621,9.739248,10.81727
"E01000252","lsoa01",15.56731,13.5756,12.30495,12.54875,12.16933,12.1615,9.524611,10.6572
"E01000253","lsoa01",15.1921033333333,13.24002,12.0968633333333,12.5244,12.27435,12.23872,9.74337233333333,10.48867
"E01000254","lsoa01",15.04387,13.02966,11.91664,12.20624,11.86189,11.87337,9.292946,10.33681
"E01000255","lsoa01",15.70787,13.85471,12.56979,12.94028,12.5316,12.64497,9.833625,10.82372
"E01000256","lsoa01",16.07459,14.26119,12.70585,13.29282,12.85942,12.97531,10.1677,11.18443
"E01000257","lsoa01",15.84995,14.09472,12.66871,13.18197,12.69296,12.8509,10.0153,10.99203
"E01000258","lsoa01",16.27969,14.32539,13.14841,14.4303,14.33351,14.32812,11.23644,11.66063
