"","zone","accessA","accessB"
"263","S01000263",155323,3376.70761352226
"264","S01000264",161227,9850.29727529077
"265","S01000265",162235,11143.7017283395
"266","S01000266",162455,10624.6507472062
"267","S01000267",161733,9214.42413339315
"268","S01000268",10459,116.800757995234
"269","S01000269",10069,98.4803254085046
"270","S01000270",12139,67.7066169719632
"271","S01000271",8997,58.5447699903353
"272","S01000272",10234,456.433837016784
"273","S01000273",9587,75.1380730330483
"274","S01000274",3330,133.251374221411
"275","S01000275",10213,378.816842264598
"276","S01000276",5947,313.160758484751
"277","S01000277",5972,350.248970337061
"278","S01000278",5972,329.797142204346
"279","S01000279",10166,578.185263063011
"280","S01000280",5990,133.281755134464
"281","S01000281",6415,71.2728538541402
"282","S01000282",4251,104.518539879913
"283","S01000283",3636,70.1720405860718
"284","S01000284",5306,58.0918742344197
"285","S01000285",6179,192.018294968067
"286","S01000286",9485,1244.13685990527
"287","S01000287",9474,1305.74787903892
"288","S01000288",9793,1218.72952687355
"289","S01000289",9692,1441.95761538679
"290","S01000290",9800,1376.47297074341
"291","S01000291",10307,1188.35122914311
"292","S01000292",10170,1489.07473933439
"293","S01000293",9833,1467.19701970819
"294","S01000294",10773,975.364047837514
"295","S01000295",10505,1351.13065664522
"296","S01000296",10127,1510.58630819955
"297","S01000297",10586,1076.80710845478
"298","S01000298",10616,1135.72726378009
"299","S01000299",4319,116.012868446942
"300","S01000300",12155,71.6498191337445
"301","S01000301",393,134.142852224831
"302","S01000302",4573,46.6122467179208
"303","S01000303",1164,80.4414735342749
"304","S01000304",102562,210.828607371945
"305","S01000305",106201,263.023667046069
"306","S01000306",21993,62.2939638851312
"307","S01000307",110533,296.613755583378
"308","S01000308",110613,94.0963379628277
"309","S01000309",2866,278.586623586133
"310","S01000310",120188,841.430000291016
"311","S01000311",5129,1035.95348966409
"312","S01000312",1394,400.6073748218
"313","S01000313",5450,877.043425535986
"314","S01000314",120769,999.662667386001
"315","S01000315",4779,832.174199926405
"316","S01000316",1534,384.475670420621
"317","S01000317",5419,914.221851842847
"318","S01000318",5180,983.402240267032
"319","S01000319",120699,1154.18903146901
"320","S01000320",124440,1177.24964327301
"321","S01000321",121980,651.274785438397
"322","S01000322",5570,751.631411309053
"323","S01000323",5327,864.156201110251
"324","S01000324",125797,1219.84096784236
"325","S01000325",6225,569.553019067768
"326","S01000326",126084,1430.20728309232
"327","S01000327",125879,1402.58095430834
"328","S01000328",129286,1273.30700467353
"329","S01000329",129276,1245.78104241867
"330","S01000330",10145,116.987741655419
"331","S01000331",3019,314.557542849135
"332","S01000332",2800,336.276160505161
"333","S01000333",160845,279.649978066019
"334","S01000334",2754,330.010134625149
"335","S01000335",38836,101.26052920328
"336","S01000336",157459,1139.17469980064
"337","S01000337",5537,82.3683781560304
"338","S01000338",5200,71.4144895133514
"339","S01000339",5921,216.408058863145
"340","S01000340",18373,111.993701196866
"341","S01000341",2812,73.4176393548822
"342","S01000342",3717,137.729956245629
"343","S01000343",6303,130.919803055255
"344","S01000344",5557,64.4102796885436
"345","S01000345",161722,1647.01057975468
"346","S01000346",161435,2301.31899726401
"347","S01000347",156407,299.247259967654
"348","S01000348",161710,1910.56230139588
"349","S01000349",161839,1560.62635722944
"350","S01000350",161766,1059.98846098144
"351","S01000351",161982,1811.2234648461
"352","S01000352",161880,1860.72405556986
"353","S01000353",162737,1163.56186005159
"354","S01000354",163573,1304.6605495202
"355","S01000355",162165,1514.79992672339
"356","S01000356",10305,60.2745602155425
"357","S01000357",162289,1792.07691835734
"358","S01000358",162345,1596.81804810446
"359","S01000359",164339,1242.11194558562
"360","S01000360",516,45.8750553828113
"361","S01000361",56020,92.2349031792621
"362","S01000362",145588,533.105642401947
"363","S01000363",5904,18.1312978159791
"364","S01000364",3656,23.4731779398672
"365","S01000365",155040,565.426179846336
"366","S01000366",60934,196.936049952671
"367","S01000367",67521,215.474905157737
"368","S01000368",3927,434.818396275161
"369","S01000369",153679,307.248465167259
"370","S01000370",146776,219.93686318207
"371","S01000371",3460,261.471985666107
"372","S01000372",21929,468.933162360379
"373","S01000373",22121,411.019533509521
"374","S01000374",3704,421.876733642562
"375","S01000375",21929,463.153208641155
"376","S01000376",22154,510.96228688539
"377","S01000377",22673,191.912713980837
"378","S01000378",21967,507.185040931182
"379","S01000379",142925,1102.0216494365
"380","S01000380",146848,220.17935597064
"381","S01000381",57216,293.519756392974
"382","S01000382",12276,54.8116222970779
"383","S01000383",137808,259.613133182018
"384","S01000384",1994,41.1637987252791
"385","S01000385",146677,212.499071040558
"386","S01000386",58563,132.823557796142
"387","S01000387",134116,250.374405338735
"388","S01000388",146062,146.508255339876
"389","S01000389",129095,237.704235363028
"390","S01000390",49577,1274.22385408975
"391","S01000391",49212,1598.77005253745
"392","S01000392",133967,252.894746559498
"393","S01000393",44096,2290.92535261585
"394","S01000394",38350,2008.37517020125
"395","S01000395",4232,36.5766737711816
"396","S01000396",38171,2474.86921760554
"397","S01000397",37449,2109.14637635651
"398","S01000398",49015,1441.57262303387
"399","S01000399",42745,2822.29845046224
"400","S01000400",37446,2623.80815937385
"401","S01000401",2951,28.4138856555261
"402","S01000402",19388,1471.44912081402
"403","S01000403",22601,2302.42942442542
"404","S01000404",22194,2020.4071032809
"405","S01000405",50257,44.4062768552588
"406","S01000406",22595,2164.72401885831
"407","S01000407",19402,1575.98144047732
"408","S01000408",19380,1288.91400908906
"409","S01000409",19402,1426.63495864477
"410","S01000410",11770,72.9425761770769
"411","S01000411",54068,50.4592517962394
"412","S01000412",57663,52.7451659143166
