"","Data.Zone","Local.Authority.Code","Local.Authority.Name","Total.Population..2001.Census.","Working.Age.Population..men.16.64..women.16.59..2001.Census.","SIMD.Score","SIMD.Rank","Current.Income.domain.score","Number.of.Current.Income.Deprived","Current.Income.domain.rank","Employment.domain.score","Number.of.Employment.Deprived","Employment.domain.rank","Health.domain.score","Health.domain.rank","Education..Skills.and.Training.domain.score","Education..Skills.and.Training.domain.rank","Housing.domain.score","Housing.domain.rank","Geographic.Access.and.Telecommunications.domain.score","Geographic.Access.and.Telecommunications.domain.rank","zone","X.x","accessA","accessB","type.x","X.y","type.y","area","zone_type","ttwa11cd","ttwa11nm","main_dist","main_bua","nearest_dist","nearest_bua","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"21","S01000021",100,"Aberdeen City",862,519,12.03,4213,8.2,71,4091,7.3,38,4645,-0.24,3869,0.33,2394,13.92,3788,-0.07,3323,"S01000021",21,157343,5042.57119674669,"",69152,"dz01",154836.178549826,"dz01","S22000047","Aberdeen",4102.78533651046,"Aberdeen",4102.78533651046,"Aberdeen","dz01",9.118279,7.117149,4.882275,6.800036,8.128488,7.945144,6.111793,5.652972,2004,"Scotland","Aberdeen City","Aberdeen",862,71,791,4102.78533651046,4102.78533651046,NA,3788,3323,2473,5042.57119674669
"22","S01000022",100,"Aberdeen City",729,423,3.09,6345,NA,0,6498,NA,NA,6493,-1.16,6098,-1.78,6381,0.96,6475,0.43,1621,"S01000022",22,158283,917.467735890442,"",69153,"dz01",721393.750953561,"dz01","S22000047","Aberdeen",7813.01024825397,"Aberdeen",7813.01024825397,"Aberdeen","dz01",7.320482,5.83917,4.419998,6.213081,7.350729,7.58124,5.708066,5.287117,2004,"Scotland","Aberdeen City","Aberdeen",729,0,729,7813.01024825397,7813.01024825397,NA,6475,1621,5034.5,917.467735890442
"23","S01000023",100,"Aberdeen City",805,494,4.56,6072,NA,0,6488,2.2,11,6374,-1.42,6343,-1.72,6361,2.24,6367,0.91,771,"S01000023",23,158365,491.114141449711,"",69154,"dz01",5504511.94377785,"dz01","S22000047","Aberdeen",9725.85777912806,"Aberdeen",9725.85777912806,"Aberdeen","dz01",7.03337833333333,5.65718583333333,4.19107466666667,5.88758316666667,6.96250833333333,7.431881,5.61096916666667,5.13367266666667,2004,"Scotland","Aberdeen City","Aberdeen",805,0,805,9725.85777912806,9725.85777912806,NA,6367,771,5451,491.114141449711
"24","S01000024",100,"Aberdeen City",512,316,7.55,5252,3.5,18,5496,3.2,10,6167,-0.54,4747,-1.39,6151,9.43,5031,1.07,623,"S01000024",24,158281,245.887255015446,"",69155,"dz01",14214502.4869,"dz01","S22000047","Aberdeen",12623.4579556246,"Aberdeen",12623.4579556246,"Aberdeen","dz01",6.80013728571429,5.50499957142857,4.06745135714286,5.72475985714286,6.78511421428571,7.49622642857143,5.79954035714286,5.210931,2004,"Scotland","Aberdeen City","Aberdeen",512,18,494,12623.4579556246,12623.4579556246,NA,5031,623,5715,245.887255015446
"25","S01000025",100,"Aberdeen City",874,571,3.74,6244,2.7,24,5784.5,3.3,19,6119,-1.29,6252,-2.37,6499,0.94,6476,0.32,1951,"S01000025",25,158232,1332.20444940449,"",69156,"dz01",304180.929245498,"dz01","S22000047","Aberdeen",7135.52251209332,"Aberdeen",7135.52251209332,"Aberdeen","dz01",7.436262,5.89439,4.48462,6.210846,7.40885,7.42039,5.666898,5.308051,2004,"Scotland","Aberdeen City","Aberdeen",874,24,850,7135.52251209332,7135.52251209332,NA,6476,1951,4831.5,1332.20444940449
"26","S01000026",100,"Aberdeen City",930,494,25.19,2062,19.6,182,1819,15,74,2434,0.54,1625,0.59,1720,21.18,2081,-0.43,4624,"S01000026",26,157540,5784.64838233466,"",69157,"dz01",226630.919682682,"dz01","S22000047","Aberdeen",3806.34749323345,"Aberdeen",3806.34749323345,"Aberdeen","dz01",9.118279,7.117149,4.882275,6.800036,8.128488,7.945144,6.111793,5.652972,2004,"Scotland","Aberdeen City","Aberdeen",930,182,748,3806.34749323345,3806.34749323345,NA,2081,4624,2473,5784.64838233466
"27","S01000027",100,"Aberdeen City",815,496,3.35,6311,2.7,22,5804,4,20,5890,-1.27,6218,-1.36,6129,4.29,6029,0,3066,"S01000027",27,158211,1427.1538498068,"",69158,"dz01",357190.629608363,"dz01","S22000047","Aberdeen",6938.38000842068,"Aberdeen",6938.38000842068,"Aberdeen","dz01",7.436262,5.89439,4.48462,6.210846,7.40885,7.42039,5.666898,5.308051,2004,"Scotland","Aberdeen City","Aberdeen",815,22,793,6938.38000842068,6938.38000842068,NA,6029,3066,4831.5,1427.1538498068
"28","S01000028",100,"Aberdeen City",969,514,21.76,2493,16,155,2381,12.5,64,3025,0.36,2104,0.73,1392,21.05,2105,-0.54,4960,"S01000028",28,157556,6596.13822848775,"",69159,"dz01",129233.51522661,"dz01","S22000047","Aberdeen",3707.46671085083,"Aberdeen",3707.46671085083,"Aberdeen","dz01",9.118279,7.117149,4.882275,6.800036,8.128488,7.945144,6.111793,5.652972,2004,"Scotland","Aberdeen City","Aberdeen",969,155,814,3707.46671085083,3707.46671085083,NA,2105,4960,2473,6596.13822848775
"29","S01000029",100,"Aberdeen City",742,462,4.11,6166,NA,0,6504,NA,NA,6495,-1.71,6461,-2.19,6490,3.77,6138,0.82,869,"S01000029",29,158449,926.693313111053,"",69160,"dz01",198933.218823731,"dz01","S22000047","Aberdeen",7729.51696537134,"Aberdeen",7729.51696537134,"Aberdeen","dz01",7.320482,5.83917,4.419998,6.213081,7.350729,7.58124,5.708066,5.287117,2004,"Scotland","Aberdeen City","Aberdeen",742,0,742,7729.51696537134,7729.51696537134,NA,6138,869,5034.5,926.693313111053
"30","S01000030",100,"Aberdeen City",500,242,24.8,2106,19.6,98,1813,13.6,33,2742.5,0.43,1909,0.63,1660,28,1267.5,-0.3,4182,"S01000030",30,157461,8387.87211582202,"",69161,"dz01",71968.1892147288,"dz01","S22000047","Aberdeen",3474.07591532518,"Aberdeen",3474.07591532518,"Aberdeen","dz01",9.71714,7.558447,5.248371,7.273109,8.72817,8.240809,6.384211,5.79036,2004,"Scotland","Aberdeen City","Aberdeen",500,98,402,3474.07591532518,3474.07591532518,NA,1267.5,4182,1482,8387.87211582202
"31","S01000031",100,"Aberdeen City",866,485,3.17,6336,3,26,5679,4.1,20,5853.5,-0.88,5625,-1.69,6347,4.04,6086,-0.26,4048,"S01000031",31,157851,2039.86458094388,"",69162,"dz01",318799.461943731,"dz01","S22000047","Aberdeen",5984.00309418316,"Aberdeen",5984.00309418316,"Aberdeen","dz01",7.609373,6.027416,4.53035,6.431835,7.654072,7.82267,6.256497,5.623961,2004,"Scotland","Aberdeen City","Aberdeen",866,26,840,5984.00309418316,5984.00309418316,NA,6086,4048,4598,2039.86458094388
"32","S01000032",100,"Aberdeen City",1089,591,15.24,3586,10.6,115,3524,10.8,64,3475,-0.1,3486,0.38,2244,18.73,2552,-0.4,4537,"S01000032",32,157391,10911.9068414704,"",69163,"dz01",186751.249737613,"dz01","S22000047","Aberdeen",3242.09672077277,"Aberdeen",3242.09672077277,"Aberdeen","dz01",10.20111,7.825598,6.290645,9.318458,10.69491,9.564897,7.2215,5.990866,2004,"Scotland","Aberdeen City","Aberdeen",1089,115,974,3242.09672077277,3242.09672077277,NA,2552,4537,935,10911.9068414704
