"","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"3492",2012,"Scotland","Glasgow City","Glasgow",1158,235,923,1518.92258373854,1518.92258373854,1224,465,4271,16,27490.8678794515
"3493",2012,"Scotland","Glasgow City","Glasgow",777,245,532,5219.70899051926,5219.70899051926,1159,455,5528,248.5,12778.4933538223
"3494",2012,"Scotland","Glasgow City","Glasgow",844,215,629,1947.0528143462,1947.0528143462,1509,284,6440,223,35575.6976585199
"3495",2012,"Scotland","Glasgow City","Glasgow",1267,255,1012,2300.63031956301,2300.63031956301,626,549,5788,87,16492.1325953756
"3496",2012,"Scotland","Glasgow City","Glasgow",879,105,774,4250.88659612101,4250.88659612101,2995,122,6315,271,17030.4494063739
"3497",2012,"Scotland","Glasgow City","Glasgow",847,75,772,3452.68440739068,3452.68440739068,1944,570,6010,503.5,23849.3750560515
"3498",2012,"Scotland","Glasgow City","Glasgow",892,230,662,4776.53430155507,4776.53430155507,2905,955,5466,248.5,14068.2236227412
"3499",2012,"Scotland","Glasgow City","Glasgow",938,185,753,4427.66128249109,4427.66128249109,3431,91,5950,271,15870.699273975
"3500",2012,"Scotland","Glasgow City","Glasgow",712,275,437,1725.24892942009,1725.24892942009,1264,322,6217,21.5,35112.0705910167
"3501",2012,"Scotland","Glasgow City","Glasgow",673,65,608,2490.98054657933,2490.98054657933,622,151,6493,223,31155.6661899015
"3502",2012,"Scotland","Glasgow City","Glasgow",1433,245,1188,9551.51436861895,9551.51436861895,796,97,1368,1885,1569.01271281063
"3503",2012,"Scotland","Glasgow City","Glasgow",665,50,615,3716.08844178213,3716.08844178213,4924,588,6339,271,21228.3826759992
"3504",2012,"Scotland","Glasgow City","Glasgow",950,70,880,2702.3107810302,2702.3107810302,769,233,6263,537.5,28417.8716048188
"3505",2012,"Scotland","Glasgow City","Glasgow",0,5,-5,1777.22690112384,1777.22690112384,6487,119,4399,368,23715.9091834704
"3506",2012,"Scotland","Glasgow City","Glasgow",1042,95,947,2327.15342318165,2327.15342318165,1931,646,6292,537.5,30370.3047239743
"3507",2012,"Scotland","Glasgow City","Glasgow",666,55,611,1878.50178077581,1878.50178077581,1360,1049,6215,665.5,33613.9039381337
"3508",2012,"Scotland","Glasgow City","Glasgow",838,260,578,4663.86529603888,4663.86529603888,2174,442,5059,480,14462.6630698035
"3509",2012,"Scotland","Glasgow City","Glasgow",882,25,857,3385.66208251513,3385.66208251513,4175,900,5976,572.5,24279.1699685649
"3510",2012,"Scotland","Glasgow City","Glasgow",703,105,598,1864.60318133298,1864.60318133298,1436,168,4686,282,22848.741280078
"3511",2012,"Scotland","Glasgow City","Glasgow",1019,35,984,4063.28030619056,4063.28030619056,2122,2180,6274,886.5,18228.6327103096
"3512",2012,"Scotland","Glasgow City","Glasgow",638,205,433,5998.86867063999,5998.86867063999,1665,155,4328,2547.5,2906.50669658159
"3513",2012,"Scotland","Glasgow City","Glasgow",766,50,716,2895.90110593694,2895.90110593694,3223,229,6052,572.5,27347.4521004033
"3514",2012,"Scotland","Glasgow City","Glasgow",819,55,764,3216.0102914344,3216.0102914344,854,346,6178,572.5,25336.7458724615
"3515",2012,"Scotland","Glasgow City","Glasgow",650,265,385,4258.98706876394,4258.98706876394,761,425,4118,522,4955.45627497419
"3516",2012,"Scotland","Glasgow City","Glasgow",669,55,614,4772.66300653199,4772.66300653199,3338,1110,3098,522,3841.32802853516
