"","Data.Zone","Local.Authority.Code","Local.Authority.Name","Nearest.settlement.","Total.Population..SAPE.2004.","Working.Age.Population..men.16.64..women.16.59.SAPE.2004.","SIMD.2006.Score","SIMD.2006.Rank","Current.Income.domain.2006.rate","Number.of.Current.Income.Deprived.People.2006","Current.Income.domain.2006.rank","Employment.domain.2006.rate","Number.of.Employment.Deprived.People.2006","Employment.domain.2006.rank","Health.domain.2006.score","Health.domain.2006.rank","Education..Skills.and.Training.domain.2006.score","Education..Skills.and.Training.domain.2006.rank","Housing.domain.score.2004.and.2006","Housing.domain.rank.2004.and.2006","Geographic.Access.domain.2006.score","Geographic.Access.domain.2006.rank","SIMD.Crime.2006.Score","SIMD.Crime.2006.rank","zone","X.x","accessA","accessB","type.x","X.y","type.y","area","zone_type","ttwa11cd","ttwa11nm","main_dist","main_bua","nearest_dist","nearest_bua","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"1027","S01001027",170,"Dumfries & Galloway","Dumfries",979,545,15.33,3567,7.6,74,4222,10.8,59,3270,-0.12,3571,0.1,2955,6.71,5576,15.29,3355,1062,713,"S01001027",1027,24462,3127.37430838175,"",70158,"dz01",643172.330954878,"dz01","S22000055","Dumfries",1448.78607717118,"Dumfries",1448.78607717118,"Dumfries","dz01",8.496458,6.520485,5.217259,6.337015,7.885725,6.720994,6.178421,5.876968,2006,"Scotland","Dumfries & Galloway","Dumfries",979,74,905,1448.78607717118,1448.78607717118,713,5576,3355,4262,3127.37430838175
"1028","S01001028",170,"Dumfries & Galloway","Dumfries",777,462,30.43,1555,19.3,150,1705,20.1,93,1339,0.25,2551,0.89,1098,17.7,2786,9.43,4396,1107,664,"S01001028",1028,24616,2996.83794993488,"",70159,"dz01",662390.247491654,"dz01","S22000055","Dumfries",1429.24717415973,"Dumfries",1429.24717415973,"Dumfries","dz01",8.267815,6.460019,5.316421,6.61799,8.063962,6.966318,6.085232,5.920516,2006,"Scotland","Dumfries & Galloway","Dumfries",777,150,627,1429.24717415973,1429.24717415973,664,2786,4396,4400,2996.83794993488
"1029","S01001029",170,"Dumfries & Galloway","Dumfries",684,382,48.71,543,31.7,217,529,26.4,101,607,1.22,536,0.9,1073,23.16,1781,26.24,2019,1228,525,"S01001029",1029,24488,2394.23788791878,"",70160,"dz01",222042.243789827,"dz01","S22000055","Dumfries",1901.46140873508,"Dumfries",1901.46140873508,"Dumfries","dz01",7.901608,6.265366,5.019567,6.073902,7.519442,6.530802,5.494591,5.832102,2006,"Scotland","Dumfries & Galloway","Dumfries",684,217,467,1901.46140873508,1901.46140873508,525,1781,2019,4757.5,2394.23788791878
"1030","S01001030",170,"Dumfries & Galloway","Dumfries",722,397,5.35,5864,3.3,24,5650,5.8,23,5050,-1.07,5801,-1.35,6094,2.02,6388,22.12,2448,180,5062,"S01001030",1030,24547,3779.11282022618,"",70161,"dz01",912579.167828625,"dz01","S22000055","Dumfries",1105.85869313605,"Dumfries",1105.85869313605,"Dumfries","dz01",9.040699,6.804156,5.229224,6.409899,7.754579,6.606082,5.684484,5.655661,2006,"Scotland","Dumfries & Galloway","Dumfries",722,24,698,1105.85869313605,1105.85869313605,5062,6388,2448,3738,3779.11282022618
"1031","S01001031",170,"Dumfries & Galloway","Dumfries",937,539,22.54,2393,14.9,140,2432,10.9,59,3242,0.28,2469,0.68,1566,18.86,2521,33.35,1413,438,2848,"S01001031",1031,24121,1724.10625171361,"",70162,"dz01",127218.450729454,"dz01","S22000055","Dumfries",2465.81661004633,"Dumfries",2465.81661004633,"Dumfries","dz01",7.901608,6.265366,5.019567,6.073902,7.519442,6.530802,5.494591,5.832102,2006,"Scotland","Dumfries & Galloway","Dumfries",937,140,797,2465.81661004633,2465.81661004633,2848,2521,1413,4757.5,1724.10625171361
"1032","S01001032",170,"Dumfries & Galloway","Dumfries",696,413,39.42,950,24.4,170,1077,22.3,92,1051,0.86,1073,1.04,830,27.42,1322,18.52,2908,1149,601,"S01001032",1032,24607,2256.10651903718,"",70163,"dz01",100440.125786063,"dz01","S22000055","Dumfries",2034.99758727268,"Dumfries",2034.99758727268,"Dumfries","dz01",7.901608,6.265366,5.019567,6.073902,7.519442,6.530802,5.494591,5.832102,2006,"Scotland","Dumfries & Galloway","Dumfries",696,170,526,2034.99758727268,2034.99758727268,601,1322,2908,4757.5,2256.10651903718
"1033","S01001033",170,"Dumfries & Galloway","Dumfries",725,407,41.05,857,23.7,172,1148.5,18.2,74,1644,1.37,407,1.38,371,25.98,1478,12.73,3790,1324,440,"S01001033",1033,24579,2467.77666371192,"",70164,"dz01",144930.874627899,"dz01","S22000055","Dumfries",1822.23899896666,"Dumfries",1822.23899896666,"Dumfries","dz01",8.267815,6.460019,5.316421,6.61799,8.063962,6.966318,6.085232,5.920516,2006,"Scotland","Dumfries & Galloway","Dumfries",725,172,553,1822.23899896666,1822.23899896666,440,1478,3790,4400,2467.77666371192
"1034","S01001034",170,"Dumfries & Galloway","Dumfries",869,548,64.48,182,41,356,182,31.6,173,279,1.55,257,1.43,329,26.65,1401,21.24,2557,2221,99,"S01001034",1034,24537,2043.63040264149,"",70165,"dz01",150930.992056577,"dz01","S22000055","Dumfries",2228.09212088849,"Dumfries",2228.09212088849,"Dumfries","dz01",7.901608,6.265366,5.019567,6.073902,7.519442,6.530802,5.494591,5.832102,2006,"Scotland","Dumfries & Galloway","Dumfries",869,356,513,2228.09212088849,2228.09212088849,99,1401,2557,4757.5,2043.63040264149
"1035","S01001035",170,"Dumfries & Galloway","Dumfries",524,305,26.71,1879,15.6,82,2286.5,13.4,41,2580,0.22,2626,1.12,691,30.57,1064,19.15,2819,878,1030,"S01001035",1035,24579,2538.91379250696,"",70166,"dz01",389190.858785335,"dz01","S22000055","Dumfries",1727.00931021166,"Dumfries",1727.00931021166,"Dumfries","dz01",8.267815,6.460019,5.316421,6.61799,8.063962,6.966318,6.085232,5.920516,2006,"Scotland","Dumfries & Galloway","Dumfries",524,82,442,1727.00931021166,1727.00931021166,1030,1064,2819,4400,2538.91379250696
"1036","S01001036",170,"Dumfries & Galloway","Dumfries",505,296,28.38,1724,19.2,97,1719,16.2,48,2007.5,0.52,1815,0.82,1252,22.86,1812,20.11,2696,515,2370,"S01001036",1036,24579,1783.79688720264,"",70167,"dz01",94747.5249853637,"dz01","S22000055","Dumfries",2386.20537769656,"Dumfries",2386.20537769656,"Dumfries","dz01",7.706378,6.227632,5.028334,6.159301,7.636487,6.774948,5.637102,5.679542,2006,"Scotland","Dumfries & Galloway","Dumfries",505,97,408,2386.20537769656,2386.20537769656,2370,1812,2696,4826.5,1783.79688720264
