"","Data.Zone","Local.Authority.Code","Local.Authority.Name","Nearest.settlement.","Total.Population..SAPE.2004.","Working.Age.Population..men.16.64..women.16.59.SAPE.2004.","SIMD.2006.Score","SIMD.2006.Rank","Current.Income.domain.2006.rate","Number.of.Current.Income.Deprived.People.2006","Current.Income.domain.2006.rank","Employment.domain.2006.rate","Number.of.Employment.Deprived.People.2006","Employment.domain.2006.rank","Health.domain.2006.score","Health.domain.2006.rank","Education..Skills.and.Training.domain.2006.score","Education..Skills.and.Training.domain.2006.rank","Housing.domain.score.2004.and.2006","Housing.domain.rank.2004.and.2006","Geographic.Access.domain.2006.score","Geographic.Access.domain.2006.rank","SIMD.Crime.2006.Score","SIMD.Crime.2006.rank","zone","X.x","accessA","accessB","type.x","X.y","type.y","area","zone_type","ttwa11cd","ttwa11nm","main_dist","main_bua","nearest_dist","nearest_bua","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"998","S01000998",170,"Dumfries & Galloway","Dumfries",688,453,25.52,2022,17.7,122,1935,14.8,67,2278,0.46,1944,0.7,1521,22.54,1855,14.29,3512,523,2361,"S01000998",998,24548,4711.65451742163,"",70129,"dz01",170001.99925682,"dz01","S22000055","Dumfries",1165.36728833095,"Dumfries",1165.36728833095,"Dumfries","dz01",8.636251,6.464832,5.345583,6.385128,7.950845,6.775583,6.110698,5.887862,2006,"Scotland","Dumfries & Galloway","Dumfries",688,122,566,1165.36728833095,1165.36728833095,2361,1855,3512,4383.5,4711.65451742163
"999","S01000999",170,"Dumfries & Galloway","Dumfries",697,511,5.93,5697,1.6,11,6330,3.7,19,5953,-0.96,5584,-0.61,4805,11.93,4350,30.53,1640,373,3232,"S01000999",999,24361,3284.75852052811,"",70130,"dz01",156928.094328377,"dz01","S22000055","Dumfries",1818.09151405243,"Dumfries",1818.09151405243,"Dumfries","dz01",8.523037,6.38524,5.171737,6.15123,7.60014,6.515498,5.571749,6.023779,2006,"Scotland","Dumfries & Galloway","Dumfries",697,11,686,1818.09151405243,1818.09151405243,3232,4350,1640,4530,3284.75852052811
"1000","S01001000",170,"Dumfries & Galloway","Dumfries",630,400,14.3,3751,11.1,70,3309.5,12.3,49,2875,-0.23,3840,-0.82,5326,21.28,2061,10.6,4165,524,2353,"S01001000",1000,24548,4957.89670449483,"",70131,"dz01",110538.99463573,"dz01","S22000055","Dumfries",1035.97299398805,"Dumfries",1035.97299398805,"Dumfries","dz01",8.636251,6.464832,5.345583,6.385128,7.950845,6.775583,6.110698,5.887862,2006,"Scotland","Dumfries & Galloway","Dumfries",630,70,560,1035.97299398805,1035.97299398805,2353,2061,4165,4383.5,4957.89670449483
"1001","S01001001",170,"Dumfries & Galloway","Castle Douglas",543,325,14.6,3691,6.3,34,4621.5,6.8,22,4656,-0.3,4036,-0.49,4492,13.74,3854,79.65,113,92,5821,"S01001001",1001,5678,67.0244251667252,"",70132,"dz01",101672437.978201,"dz01","S22000055","Dumfries",19659.151680899,"Dumfries",19659.151680899,"Dumfries","dz01",6.9048222038835,5.81937822330097,4.60891513592233,5.25416655339806,6.62019447572816,5.80705137864078,4.68018597087379,5.08194365048544,2006,"Scotland","Dumfries & Galloway","Dumfries",543,34,509,19659.151680899,19659.151680899,5821,3854,113,5577,67.0244251667252
"1002","S01001002",170,"Dumfries & Galloway","Dumfries",639,452,7.94,5153,5.3,34,4914,4.9,22,5458,-0.79,5247,-0.31,4017,14.26,3679,22.63,2383,282,4037,"S01001002",1002,24434,3954.40801726612,"",70133,"dz01",112785.961108328,"dz01","S22000055","Dumfries",1526.86491699079,"Dumfries",1526.86491699079,"Dumfries","dz01",8.523037,6.38524,5.171737,6.15123,7.60014,6.515498,5.571749,6.023779,2006,"Scotland","Dumfries & Galloway","Dumfries",639,34,605,1526.86491699079,1526.86491699079,4037,3679,2383,4530,3954.40801726612
"1003","S01001003",170,"Dumfries & Galloway","Dumfries",921,571,6.89,5442,3.3,30,5673,4.6,26,5612.5,-1.12,5867,-1.02,5676,5.6,5785,45.03,794,87,5979,"S01001003",1003,24589,1933.2334283623,"",70134,"dz01",178245.62726198,"dz01","S22000055","Dumfries",2481.78230058601,"Dumfries",2481.78230058601,"Dumfries","dz01",8.088331,6.261132,5.096448,6.13227,7.498547,6.53122,5.460416,5.965483,2006,"Scotland","Dumfries & Galloway","Dumfries",921,30,891,2481.78230058601,2481.78230058601,5979,5785,794,4769,1933.2334283623
"1004","S01001004",170,"Dumfries & Galloway","Dumfries",695,363,4.99,5969,3.2,22,5708,6.6,24,4728,-0.57,4716,-1.93,6434,3.84,6126,8.54,4581,201,4846,"S01001004",1004,24474,4799.19743934566,"",70135,"dz01",169377.414276361,"dz01","S22000055","Dumfries",974.757168492997,"Dumfries",974.757168492997,"Dumfries","dz01",8.363691,6.363916,5.173929,6.182528,7.736235,6.604455,5.709706,5.776686,2006,"Scotland","Dumfries & Galloway","Dumfries",695,22,673,974.757168492997,974.757168492997,4846,6126,4581,4578,4799.19743934566
"1005","S01001005",170,"Dumfries & Galloway","Dumfries",873,458,5.4,5846,4.5,39,5221,6.1,28,4916,-0.88,5440,-1.44,6178,7.04,5518,11.13,4071,252,4305,"S01001005",1005,24530,3958.98828420537,"",70136,"dz01",276698.392121222,"dz01","S22000055","Dumfries",1152.69290614037,"Dumfries",1152.69290614037,"Dumfries","dz01",8.363691,6.363916,5.173929,6.182528,7.736235,6.604455,5.709706,5.776686,2006,"Scotland","Dumfries & Galloway","Dumfries",873,39,834,1152.69290614037,1152.69290614037,4305,5518,4071,4578,3958.98828420537
"1006","S01001006",170,"Dumfries & Galloway","Dumfries",741,470,5.91,5704,2,15,6173,4.3,20,5746,-0.85,5389,-0.78,5235,7.78,5367,20.44,2652,715,1571,"S01001006",1006,24527,3405.15618376915,"",70137,"dz01",191689.676223734,"dz01","S22000055","Dumfries",1690.09751423586,"Dumfries",1690.09751423586,"Dumfries","dz01",8.523037,6.38524,5.171737,6.15123,7.60014,6.515498,5.571749,6.023779,2006,"Scotland","Dumfries & Galloway","Dumfries",741,15,726,1690.09751423586,1690.09751423586,1571,5367,2652,4530,3405.15618376915
"1007","S01001007",170,"Dumfries & Galloway","Dumfries",803,500,20.03,2748,12.2,98,3024,12.6,63,2793,0.21,2649,0.44,2131,20.69,2156,15.37,3346,747,1473,"S01001007",1007,24434,4868.4897467689,"",70138,"dz01",338884.16472816,"dz01","S22000055","Dumfries",1203.46194861941,"Dumfries",1203.46194861941,"Dumfries","dz01",8.523037,6.38524,5.171737,6.15123,7.60014,6.515498,5.571749,6.023779,2006,"Scotland","Dumfries & Galloway","Dumfries",803,98,705,1203.46194861941,1203.46194861941,1473,2156,3346,4530,4868.4897467689
"1008","S01001008",170,"Dumfries & Galloway","Dumfries",694,428,10.77,4525,10.2,71,3520,9.8,42,3588,-0.72,5092,-1.14,5842,14.65,3565,3.96,5572,634,1845,"S01001008",1008,24474,5794.84601724578,"",70139,"dz01",206298.054884296,"dz01","S22000055","Dumfries",645.536582048707,"Dumfries",645.536582048707,"Dumfries","dz01",8.363691,6.363916,5.173929,6.182528,7.736235,6.604455,5.709706,5.776686,2006,"Scotland","Dumfries & Galloway","Dumfries",694,71,623,645.536582048707,645.536582048707,1845,3565,5572,4578,5794.84601724578
"1009","S01001009",170,"Dumfries & Galloway","Dumfries",605,399,10.51,4578,5.6,34,4817,7,28,4554,-0.76,5182,-0.35,4124,14.82,3528,36.46,1188,264,4211,"S01001009",1009,24529,2491.25658018352,"",70140,"dz01",166355.041839323,"dz01","S22000055","Dumfries",2116.57270756007,"Dumfries",2116.57270756007,"Dumfries","dz01",8.088331,6.261132,5.096448,6.13227,7.498547,6.53122,5.460416,5.965483,2006,"Scotland","Dumfries & Galloway","Dumfries",605,34,571,2116.57270756007,2116.57270756007,4211,3528,1188,4769,2491.25658018352
"1010","S01001010",170,"Dumfries & Galloway","Dumfries",760,476,32.51,1399,23,175,1223,21.8,104,1114,1.08,693,-0.31,4023,15.9,3234,3.24,5729,921,948,"S01001010",1010,24485,6301.04131966438,"",70141,"dz01",190790.360987518,"dz01","S22000055","Dumfries",688.267689497654,"Dumfries",688.267689497654,"Dumfries","dz01",8.636251,6.464832,5.345583,6.385128,7.950845,6.775583,6.110698,5.887862,2006,"Scotland","Dumfries & Galloway","Dumfries",760,175,585,688.267689497654,688.267689497654,948,3234,5729,4383.5,6301.04131966438
"1011","S01001011",170,"Dumfries & Galloway","Eaglesfield",625,374,14.48,3710,8.5,53,3986,6.7,25,4698.5,-1.67,6401,-0.28,3939,21.7,1991,77.48,132,NA,6125,"S01001011",1011,8259,66.4488538369922,"",70142,"dz01",83440277.3512041,"dz01","K01000010","Carlisle",21049.6602491786,"Carlisle BUASD",21049.6602491786,"Carlisle BUASD","dz01",7.19049757317073,5.79925270731707,4.68164119512195,5.3980837804878,6.84137669512195,6.10698320731707,5.19685714634146,5.2965393902439,2006,"Scotland","Dumfries & Galloway","Carlisle",625,53,572,21049.6602491786,21049.6602491786,6125,1991,132,5594,66.4488538369922
"1012","S01001012",170,"Dumfries & Galloway","Dumfries",840,516,6.77,5468,2.6,22,5937,7,36,4567,-0.77,5207,-0.57,4714,6.14,5680,22.85,2360,83,5927,"S01001012",1012,24649,3193.24322070476,"",70143,"dz01",151223.428932428,"dz01","S22000055","Dumfries",1715.60007764142,"Dumfries",1715.60007764142,"Dumfries","dz01",8.523037,6.38524,5.171737,6.15123,7.60014,6.515498,5.571749,6.023779,2006,"Scotland","Dumfries & Galloway","Dumfries",840,22,818,1715.60007764142,1715.60007764142,5927,5680,2360,4530,3193.24322070476
"1013","S01001013",170,"Dumfries & Galloway","Dumfries",853,547,14.75,3674,10.7,91,3405,10.6,58,3332,-0.22,3824,-0.06,3347,11.93,4347,2.84,5821,961,863,"S01001013",1013,24479,4827.97962720187,"",70144,"dz01",244426.818571706,"dz01","S22000055","Dumfries",846.78496380416,"Dumfries",846.78496380416,"Dumfries","dz01",8.496458,6.520485,5.217259,6.337015,7.885725,6.720994,6.178421,5.876968,2006,"Scotland","Dumfries & Galloway","Dumfries",853,91,762,846.78496380416,846.78496380416,863,4347,5821,4262,4827.97962720187
"1014","S01001014",170,"Dumfries & Galloway","Dumfries",819,570,48.33,553,30,246,615,29.8,170,378.5,1.3,458,0.25,2601,33.12,895,0.39,6429,8254,5,"S01001014",1014,24515,7131.29296457955,"",70145,"dz01",336678.345354125,"dz01","S22000055","Dumfries",335.716871984162,"Dumfries",335.716871984162,"Dumfries","dz01",8.775715,6.628544,5.336412,6.632216,8.080948,7.086162,6.494082,5.910767,2006,"Scotland","Dumfries & Galloway","Dumfries",819,246,573,335.716871984162,335.716871984162,5,895,6429,4054.5,7131.29296457955
"1015","S01001015",170,"Dumfries & Galloway","Dumfries",617,361,21.54,2540,17.5,108,1972,14.7,53,2301,0.52,1813,-0.43,4344,17.38,2862,8.81,4527,502,2467,"S01001015",1015,24504,5503.43316923073,"",70146,"dz01",328892.828325521,"dz01","S22000055","Dumfries",903.95162568384,"Dumfries",903.95162568384,"Dumfries","dz01",8.578349,6.514888,5.303098,6.478825,7.905459,6.893519,5.867119,5.93806,2006,"Scotland","Dumfries & Galloway","Dumfries",617,108,509,903.95162568384,903.95162568384,2467,2862,4527,4271,5503.43316923073
"1016","S01001016",170,"Dumfries & Galloway","Newton Stewart",914,521,24.44,2146,15.2,139,2362,15.7,82,2091,0.13,2882,0.08,3013,16.15,3178,58.99,409,153,5301,"S01001016",1016,3196,826.907273649945,"",70147,"dz01",364542170.698642,"dz01","S22000072","Newton Stewart",NA,NA,36175.2298130524,"Stranraer","dz01",6.73043414206128,5.94966528969359,4.62064016155989,5.25216342896936,6.47333235933148,5.63566613649025,4.44809896100279,4.90206063788301,2006,"Scotland","Dumfries & Galloway","Newton Stewart",914,139,775,NA,36175.2298130524,5301,3178,409,5356,826.907273649945
"1017","S01001017",170,"Dumfries & Galloway","Dumfries",814,471,25.44,2036,19.4,158,1686,15.3,72,2179,0.27,2477,0.26,2587,20.12,2272,16.16,3234,971,849,"S01001017",1017,24499,3506.51132116507,"",70148,"dz01",221090.729830721,"dz01","S22000055","Dumfries",1288.50717150605,"Dumfries",1288.50717150605,"Dumfries","dz01",8.496458,6.520485,5.217259,6.337015,7.885725,6.720994,6.178421,5.876968,2006,"Scotland","Dumfries & Galloway","Dumfries",814,158,656,1288.50717150605,1288.50717150605,849,2272,3234,4262,3506.51132116507
"1018","S01001018",170,"Dumfries & Galloway","Dumfries",738,453,25.09,2071,16.9,125,2074.5,17.9,81,1695,0.76,1250,-0.09,3435,17.62,2800,10.55,4181,474,2611,"S01001018",1018,24477,4339.73023985863,"",70149,"dz01",225000.573577151,"dz01","S22000055","Dumfries",1192.53635142354,"Dumfries",1192.53635142354,"Dumfries","dz01",8.578349,6.514888,5.303098,6.478825,7.905459,6.893519,5.867119,5.93806,2006,"Scotland","Dumfries & Galloway","Dumfries",738,125,613,1192.53635142354,1192.53635142354,2611,2800,4181,4271,4339.73023985863
"1019","S01001019",170,"Dumfries & Galloway","Dumfries",1012,610,49.31,520,34.4,348,402,26.9,164,569,0.97,872,1.18,620,33.2,893,5.13,5306,1344,431,"S01001019",1019,24508,4935.31621485312,"",70150,"dz01",251973.036396472,"dz01","S22000055","Dumfries",703.096679740906,"Dumfries",703.096679740906,"Dumfries","dz01",8.496458,6.520485,5.217259,6.337015,7.885725,6.720994,6.178421,5.876968,2006,"Scotland","Dumfries & Galloway","Dumfries",1012,348,664,703.096679740906,703.096679740906,431,893,5306,4262,4935.31621485312
"1020","S01001020",170,"Dumfries & Galloway","Dumfries",505,298,26.6,1894,20.8,105,1478,15.4,46,2151,0.47,1929,0.36,2339,18.93,2509,4.73,5387,1109,659,"S01001020",1020,24479,4445.38309802462,"",70151,"dz01",126523.393115967,"dz01","S22000055","Dumfries",898.824062763095,"Dumfries",898.824062763095,"Dumfries","dz01",8.496458,6.520485,5.217259,6.337015,7.885725,6.720994,6.178421,5.876968,2006,"Scotland","Dumfries & Galloway","Dumfries",505,105,400,898.824062763095,898.824062763095,659,2509,5387,4262,4445.38309802462
"1021","S01001021",170,"Dumfries & Galloway","Dumfries",869,534,16.95,3246,12.5,109,2935,12.5,67,2804,0.5,1862,-0.69,5019,10.59,4729,8.47,4597,472,2661,"S01001021",1021,24477,4951.81454901413,"",70152,"dz01",271816.276474576,"dz01","S22000055","Dumfries",925.637238855613,"Dumfries",925.637238855613,"Dumfries","dz01",8.578349,6.514888,5.303098,6.478825,7.905459,6.893519,5.867119,5.93806,2006,"Scotland","Dumfries & Galloway","Dumfries",869,109,760,925.637238855613,925.637238855613,2661,4729,4597,4271,4951.81454901413
"1022","S01001022",170,"Dumfries & Galloway","Dumfries",836,545,24.83,2096,14.7,123,2481,19.6,107,1403,0.49,1887,-1,5658,16.34,3126.5,3.8,5604,2321,86,"S01001022",1022,24619,6607.60102733612,"",70153,"dz01",467040.909449718,"dz01","S22000055","Dumfries",199.959548951451,"Dumfries",199.959548951451,"Dumfries","dz01",8.775715,6.628544,5.336412,6.632216,8.080948,7.086162,6.494082,5.910767,2006,"Scotland","Dumfries & Galloway","Dumfries",836,123,713,199.959548951451,199.959548951451,86,3126.5,5604,4054.5,6607.60102733612
"1023","S01001023",170,"Dumfries & Galloway","Lockerbie",987,626,12.75,4074,5.9,58,4735,7.5,47,4376,-0.52,4597,-0.67,4974,16.36,3121,63.75,322,122,5632,"S01001023",1023,13038,79.9515780610849,"",70154,"dz01",59992489.4728531,"dz01","S22000055","Dumfries",16522.7953524283,"Dumfries",16522.7953524283,"Dumfries","dz01",7.35773034920635,5.89470311111111,4.79499531746032,5.64280612698413,7.10177473015873,6.35644936507937,5.33145728571429,5.36471633333333,2006,"Scotland","Dumfries & Galloway","Dumfries",987,58,929,16522.7953524283,16522.7953524283,5632,3121,322,5481,79.9515780610849
"1024","S01001024",170,"Dumfries & Galloway","Dumfries",1181,633,15.54,3527,11.9,140,3120,9,57,3855,-0.26,3932,-0.06,3348,13.77,3845,33.77,1378,279,4082,"S01001024",1024,24095,2375.8875084139,"",70155,"dz01",6084640.70039736,"dz01","S22000055","Dumfries",1825.77585850508,"Dumfries",1825.77585850508,"Dumfries","dz01",7.413952,6.040191,4.77845871428571,5.75796528571429,7.15573885714286,6.42948642857143,5.36522628571429,5.46879171428571,2006,"Scotland","Dumfries & Galloway","Dumfries",1181,140,1041,1825.77585850508,1825.77585850508,4082,3845,1378,5178,2375.8875084139
"1025","S01001025",170,"Dumfries & Galloway","Dumfries",999,558,10.83,4514,8,80,4103,7.9,44,4245,-0.29,3999,-0.76,5167,10.03,4867,28.09,1843,160,5213,"S01001025",1025,24684,2689.21427035704,"",70156,"dz01",3447137.00745787,"dz01","S22000055","Dumfries",1899.73607416616,"Dumfries",1899.73607416616,"Dumfries","dz01",8.31030533333333,6.422203,5.17800533333333,6.33700233333333,7.68612,6.73674066666667,5.664669,5.73971133333333,2006,"Scotland","Dumfries & Galloway","Dumfries",999,80,919,1899.73607416616,1899.73607416616,5213,4867,1843,4474,2689.21427035704
"1026","S01001026",170,"Dumfries & Galloway","Eaglesfield",855,521,11.52,4355,6.4,55,4570,6.7,35,4683,-1.05,5751,-0.26,3884,10.33,4800,52,569,164,5229,"S01001026",1026,9794,82.5688950591488,"",70157,"dz01",23322955.5551518,"dz01","S22000055","Dumfries",26482.9860321819,"Dumfries",24759.7349196282,"Carlisle BUASD","dz01",7.36102629166667,5.93848745833333,4.80527708333333,5.67026166666667,7.1034045,6.47613579166667,5.561192875,5.45598783333333,2006,"Scotland","Dumfries & Galloway","Dumfries",855,55,800,26482.9860321819,24759.7349196282,5229,4800,569,5377,82.5688950591488
